document_id,institution_name,institution_category,sector,jurisdiction,document_title,document_type,document_stratum,domain,published_or_updated_date,access_date,source_url,source_status,excerpt_validation_status,inclusion_status,coder_notes
AIES-014,Microsoft,vendor,private,United States,Responsible AI for Microsoft Foundry,technical guidance,hybrid,platform lifecycle,unknown,2026-05-17,https://learn.microsoft.com/en-us/azure/ai-foundry/responsible-use-of-ai-overview,previously_verified,excerpt_verified,included,Monitoring and lifecycle governance language.
AIES-015,AWS,vendor,private,United States,AWS Responsible AI Policy,AI policy,binding_or_operational,platform responsibility,2025-01-13,2026-05-17,https://aws.amazon.com/ai/responsible-ai/policy/,source_verified,excerpt_verified,included,Consequential-decision safeguards human oversight testing and customer/end-user responsibility.
AIES-016,Microsoft,vendor,private,United States,Microsoft Enterprise AI Services Code of Conduct,code of conduct,binding_or_operational,platform responsibility,unknown,2026-05-17,https://learn.microsoft.com/en-us/legal/ai-code-of-conduct,source_verified,excerpt_verified,included,Customer duties for testing oversight feedback channels notices and usage restrictions.
AIES-017,Harvard Graduate School of Education,university,higher education,United States,HGSE AI Policy,university policy,public_facing_compliance,education,2025-2026,2026-05-17,https://registrar.gse.harvard.edu/learning/policies-forms/ai-policy,source_verified,excerpt_verified,included,Instructor authority student responsibility documentation and academic integrity consequences.
AIES-018,Treasury Board of Canada Secretariat,government,public sector,Canada,Guide on the Scope of the Directive on Automated Decision-Making,guidance,binding_or_operational,public administration,2024,2026-05-17,https://www.canada.ca/en/government/system/digital-government/digital-government-innovations/responsible-use-ai/guide-scope-directive-automated-decision-making.html,source_verified,excerpt_verified,included,Clarifies scope for automated systems that make or assist administrative decisions.
AIES-019,UK Government Digital Service,government,public sector,United Kingdom,Algorithmic Transparency Recording Standard guidance,guidance,binding_or_operational,public-sector transparency,2025-05-08,2026-05-17,https://www.gov.uk/government/publications/guidance-for-organisations-using-the-algorithmic-transparency-recording-standard/algorithmic-transparency-recording-standard-guidance-for-public-sector-bodies,source_verified,excerpt_verified,included,Mandatory transparency records for in-scope public-sector algorithmic tools.
AIES-020,UK Department for Science Innovation and Technology,government,public sector,United Kingdom,Ethics Transparency and Accountability Framework for Automated Decision-Making,framework,public_facing_compliance,public-sector automated decision-making,2023,2026-05-17,https://www.gov.uk/government/publications/ethics-transparency-and-accountability-framework-for-automated-decision-making/ethics-transparency-and-accountability-framework-for-automated-decision-making,source_verified,excerpt_verified,included,Senior owners risk assessment and distinction between automated and assisted decisions.
AIES-021,Colorado General Assembly,regulator,public law,United States,SB24-205 Consumer Protections for Artificial Intelligence,statute,binding_or_operational,high-risk AI consequential decisions,2024-05-17,2026-05-17,https://leg.colorado.gov/bills/sb24-205,source_verified,excerpt_verified,included,Developer/deployer duties impact assessment review notice correction appeal and AG enforcement.
AIES-022,Stanford Law School,university,higher education,United States,Use of Generative AI Technology,law school policy,public_facing_compliance,legal education,unknown,2026-05-17,https://law.stanford.edu/office-of-student-affairs/use-of-generative-ai-technology/,source_verified,excerpt_verified,included,Instructor policy authority written authorization disclosure and academic consequences.
AIES-023,OpenAI,vendor,private,United States,OpenAI Usage Policies,usage policy,binding_or_operational,platform governance,2025-10-29,2026-05-17,https://openai.com/policies/usage-policies/,source_verified,excerpt_verified,included,High-stakes decisions without human review prohibited; enforcement appeal mentioned.
